episode,reward,length,loss
323,7,4,0.0401536300778389
324,7,4,0.03953305631875992
325,7,4,0.03892902657389641
326,7,4,0.03834332153201103
327,7,4,0.037773944437503815
328,7,4,0.03722090274095535
329,7,4,0.03668224811553955
330,7,4,0.036159321665763855
331,7,4,0.03565032780170441
332,7,4,0.035154059529304504
333,7,4,0.03467131406068802
334,7,4,0.034199707210063934
335,7,4,0.0337408110499382
336,7,4,0.033293649554252625
337,7,4,0.032857879996299744
338,7,4,0.03243197500705719
339,7,4,0.03201652318239212
340,7,4,0.03161066770553589
341,7,4,0.03121447190642357
342,7,4,0.030827336013317108
343,7,4,0.03044958971440792
344,7,4,0.030079642310738564
345,7,4,0.02971900999546051
346,7,4,0.029364047572016716
347,7,4,0.029018010944128036
348,7,4,0.028680961579084396
349,7,4,0.028350038453936577
350,7,4,0.02802438475191593
351,7,4,0.027706783264875412
352,7,4,0.027396703138947487
353,7,4,0.027092553675174713
354,7,4,0.026793334633111954
355,7,4,0.026501107960939407
356,7,4,0.026214338839054108
357,7,4,0.025933030992746353
358,7,4,0.02565765008330345
359,7,4,0.025386925786733627
360,7,4,0.025121133774518967
361,7,4,0.024861730635166168
362,7,4,0.024604927748441696
363,7,4,0.02435510978102684
364,7,4,0.02410869672894478
365,7,4,0.023867465555667877
366,7,4,0.023629698902368546
367,7,4,0.023396262899041176
368,7,4,0.023167289793491364
369,7,4,0.022941377013921738
370,7,4,0.022720584645867348
371,7,4,0.02250279113650322
372,7,4,0.0222894549369812
373,7,4,0.022078584879636765
374,7,4,0.02187277376651764
375,7,4,0.021669425070285797
376,7,4,0.021469537168741226
377,7,4,0.02127271145582199
378,7,4,0.021079879254102707
379,7,4,0.02088910900056362
380,7,4,0.020701801404356956
381,7,4,0.020517554134130478
382,7,4,0.020335834473371506
383,7,4,0.020156513899564743
384,7,4,0.019981250166893005
385,7,4,0.019808117300271988
386,7,4,0.01963684894144535
387,7,4,0.01946963742375374
388,7,4,0.019304489716887474
389,7,4,0.019140275195240974
390,7,4,0.018980184569954872
391,7,4,0.018822554498910904
392,7,4,0.018666328862309456
393,7,4,0.018512096256017685
394,7,4,0.018361985683441162
395,7,4,0.018212009221315384
396,7,4,0.01806483045220375
397,7,4,0.017919247969985008
398,7,4,0.01777579076588154
399,7,4,0.017635328695178032
400,7,4,0.01749579980969429
401,7,4,0.0173582024872303
402,7,4,0.017224261537194252
403,7,4,0.017089853063225746
404,7,4,0.016958504915237427
405,7,4,0.016827959567308426
406,7,4,0.01669994369149208
407,7,4,0.016573119908571243
408,7,4,0.01644829288125038
409,7,4,0.016324864700436592
410,7,4,0.0162021666765213
411,7,4,0.016083326190710068
412,7,4,0.015964552760124207
413,7,4,0.015846777707338333
414,7,4,0.015732062980532646
415,7,4,0.01561734825372696
416,7,4,0.015504563227295876
417,7,4,0.015393374487757683
418,7,4,0.015283182263374329
419,7,4,0.015175117179751396
420,7,4,0.015068048611283302
421,7,4,0.01496238075196743
422,7,4,0.014857309870421886
423,7,4,0.014753639698028564
424,7,4,0.014650565572082996
425,7,4,0.014550418592989445
426,7,4,0.014452061615884304
427,7,4,0.014352449215948582
428,7,4,0.014254494570195675
429,7,4,0.014157939702272415
430,7,4,0.014063108712434769
431,7,4,0.013968084007501602
432,7,4,0.013876312412321568
433,7,4,0.013783750124275684
434,7,4,0.013692446053028107
435,7,4,0.01360300648957491
436,7,4,0.013513762503862381
437,7,4,0.013426383957266808
438,7,4,0.01333913765847683
439,7,4,0.013252757489681244
440,7,4,0.013168437406420708
441,7,4,0.01308411918580532
442,7,4,0.013001123443245888
443,7,4,0.01291833445429802
444,7,4,0.012836077250540257
445,7,4,0.012756476178765297
446,7,4,0.012676810845732689
447,7,4,0.012598543427884579
448,7,4,0.012520277872681618
449,7,4,0.01244320534169674
450,7,4,0.01236672792583704
451,7,4,0.012289656326174736
452,7,4,0.012215045280754566
453,7,4,0.01214103028178215
454,7,4,0.01206888072192669
455,7,4,0.011997058987617493
456,7,4,0.011924443766474724
457,7,4,0.011853422969579697
458,7,4,0.011782066896557808
459,7,4,0.011713571846485138
460,7,4,0.011644676327705383
461,7,4,0.011576714925467968
462,7,4,0.011507757008075714
463,7,4,0.011440987698733807
464,7,4,0.011375149711966515
465,7,4,0.011309314519166946
466,7,4,0.01124434545636177
467,7,4,0.011180039495229721
468,7,4,0.011116795241832733
469,7,4,0.011052954941987991
470,7,4,0.010990708135068417
471,7,4,0.010929523035883904
472,7,4,0.010867615230381489
473,7,4,0.010805965401232243
474,7,4,0.010746777057647705
475,7,4,0.010686992667615414
476,7,4,0.010627338662743568
477,7,4,0.01056874729692936
478,7,4,0.010512085631489754
479,7,4,0.010453300550580025
480,7,4,0.010396834462881088
481,7,4,0.010340173728764057
482,7,4,0.01028451044112444
483,7,4,0.010229909792542458
484,7,4,0.010173380374908447
485,7,4,0.01012030802667141
486,7,4,0.010066704824566841
487,7,4,0.010012766346335411
488,7,4,0.009959100745618343
489,7,4,0.009906625375151634
490,7,4,0.009854746982455254
491,7,4,0.009803205728530884
492,7,4,0.009752855636179447
493,7,4,0.009702312760055065
494,7,4,0.009651031345129013
495,7,4,0.009601885452866554
496,7,4,0.009552533738315105
497,7,4,0.009503248147666454
498,7,4,0.009454297833144665
499,7,4,0.009405944496393204
500,7,4,0.009359119459986687
